url,http_status,robots,x_robots,indexability,location,note,extra
/,200,"index, follow",,indexable,,,
/부산법무사,200,"index, follow",,indexable,,,
/부산법무사상담,200,"index, follow",,indexable,,,
/부산법무사추천,200,"index, follow",,indexable,,,
/부산등기법무사,200,"index, follow",,indexable,,,
/부산상속법무사,200,"index, follow",,indexable,,,
/부산상속등기,200,"index, follow",,indexable,,,
/부산상속포기,200,"index, follow",,indexable,,,
/부산한정승인,200,"index, follow",,indexable,,,
/부산부동산등기,200,"index, follow",,indexable,,,
/부산법무사비용,200,"index, follow",,indexable,,,
/부산법인법무사,200,"index, follow",,indexable,,,
/부산법인등기,200,"index, follow",,indexable,,,
/개인회생파산,200,"index, follow",,indexable,,,
/부산개인회생,200,"index, follow",,indexable,,,
/해운대법무사,200,"index, follow",,indexable,,,
/센텀법무사,200,"index, follow",,indexable,,,
/연제구법무사,200,"index, follow",,indexable,,,
/about,200,"index, follow",,indexable,,,
/office,200,"index, follow",,indexable,,,
/services,200,"index, follow",,indexable,,,
/contact,200,"index, follow",,indexable,,,
/location,200,"index, follow",,indexable,,,
/media,200,"index, follow",,indexable,,,
/강의이력,200,"index, follow",,indexable,,,
/강의문의,200,"index, follow",,indexable,,,
/법률강의,200,"index, follow",,indexable,,,
/상속,200,"index, follow",,indexable,,,
/전국상속등기,200,"index, follow",,indexable,,,
/법인등기,200,"index, follow",,indexable,,,
/부동산등기,200,"index, follow",,indexable,,,
/robots.txt,200,,,,robots,"# As a condition of accessing this website, you agree to abide by the following # content signals: # (a) If a Content-Signal = yes, you may collect content for the corresponding # use. # (b) I",55a24d9ae9dda046
/sitemap.xml,200,,,,sitemap,"<?xml version=""1.0"" encoding=""UTF-8""?> <urlset xmlns=""http://www.sitemaps.org/schemas/sitemap/0.9""> <url> <loc>https://xn--2j1br1na42lvxja38mk8r.kr</loc> <lastmod>2026-08-31</lastmod> </ur",b74b25bd9d014ee1
