pageA,pageB,normSimilarity,normBand,rawSimilarity
/법무사상담전준비,/법무사방문전준비,0.996,CRITICAL_DUPLICATE,0.996
/부산개인회생상담,/부산회생상담,0.996,CRITICAL_DUPLICATE,0.996
/아파트집단등기,/오피스텔집단등기,0.993,CRITICAL_DUPLICATE,0.993
/아파트집단등기,/신축집단등기,0.993,CRITICAL_DUPLICATE,0.993
/오피스텔집단등기,/신축집단등기,0.993,CRITICAL_DUPLICATE,0.993
/신축보존등기,/건물보존등기,0.993,CRITICAL_DUPLICATE,0.993
/신축보존등기,/집합건물보존등기,0.993,CRITICAL_DUPLICATE,0.993
/신축보존등기,/오피스텔보존등기,0.993,CRITICAL_DUPLICATE,0.993
/신축보존등기,/상가보존등기,0.993,CRITICAL_DUPLICATE,0.993
/건물보존등기,/오피스텔보존등기,0.993,CRITICAL_DUPLICATE,0.993
/건물보존등기,/상가보존등기,0.993,CRITICAL_DUPLICATE,0.993
/집합건물보존등기,/상가보존등기,0.993,CRITICAL_DUPLICATE,0.993
/오피스텔보존등기,/상가보존등기,0.993,CRITICAL_DUPLICATE,0.993
/수영구개인회생,/북구개인회생,0.991,CRITICAL_DUPLICATE,0.975
/수영구개인회생,/사상구개인회생,0.991,CRITICAL_DUPLICATE,0.975
/복대리등기,/등기접수,0.989,CRITICAL_DUPLICATE,0.989
/전자등기,/전자신청,0.989,CRITICAL_DUPLICATE,0.989
/부산개인파산법무사,/부산파산법무사,0.989,CRITICAL_DUPLICATE,0.989
/업무사례/부산토성동법무사,/업무사례/부산동대신동법무사,0.987,CRITICAL_DUPLICATE,0.987
/등기완료기간,/등기얼마나걸리나요,0.985,CRITICAL_DUPLICATE,0.985
/신축보존등기,/사용승인후등기,0.985,CRITICAL_DUPLICATE,0.985
/건물보존등기,/사용승인후등기,0.985,CRITICAL_DUPLICATE,0.985
/집합건물보존등기,/사용승인후등기,0.985,CRITICAL_DUPLICATE,0.985
/오피스텔보존등기,/사용승인후등기,0.985,CRITICAL_DUPLICATE,0.985
/상가보존등기,/사용승인후등기,0.985,CRITICAL_DUPLICATE,0.985
/부산개인회생법무사추천,/부산개인회생상담,0.985,CRITICAL_DUPLICATE,0.985
/부산개인파산법무사추천,/부산개인파산상담,0.985,CRITICAL_DUPLICATE,0.985
/북구개인회생,/사상구개인회생,0.983,CRITICAL_DUPLICATE,0.966
/부산파산신청,/부산면책신청,0.982,CRITICAL_DUPLICATE,0.982
/업무사례/부산부민동법무사,/업무사례/부산암남동법무사,0.981,CRITICAL_DUPLICATE,0.981
/업무사례/부산개금동법무사,/업무사례/부산연지동법무사,0.98,CRITICAL_DUPLICATE,0.981
/업무사례/부산부전동법무사,/업무사례/부산전포동법무사,0.98,CRITICAL_DUPLICATE,0.981
/업무사례/부산금곡동법무사,/업무사례/부산만덕동법무사,0.98,CRITICAL_DUPLICATE,0.98
/업무사례/부산남항동법무사,/업무사례/부산동삼동법무사,0.979,CRITICAL_DUPLICATE,0.98
/업무사례/부산용당동법무사,/업무사례/부산문현동법무사,0.979,CRITICAL_DUPLICATE,0.98
/업무사례/부산대교동법무사,/업무사례/부산청학동법무사,0.979,CRITICAL_DUPLICATE,0.979
/업무사례/부산가야동법무사,/업무사례/부산범전동법무사,0.979,CRITICAL_DUPLICATE,0.979
/업무사례/부산명장동법무사,/업무사례/부산온천동법무사,0.979,CRITICAL_DUPLICATE,0.979
/전자신청,/등기보정,0.978,CRITICAL_DUPLICATE,0.978
/아파트집단등기,/집단등기실수모음,0.974,CRITICAL_DUPLICATE,0.975
/신축보존등기,/신축보존등기체크리스트,0.974,CRITICAL_DUPLICATE,0.975
/등록면허세,/전자신청,0.974,CRITICAL_DUPLICATE,0.974
/등록면허세,/등기보정,0.974,CRITICAL_DUPLICATE,0.974
