pageA,pageB,raw,norm,classification
/법무사상담전준비,/법무사방문전준비,0.996,0.996,CANNIBALIZATION_RISK
/부산개인회생상담,/부산회생상담,0.996,0.996,CANNIBALIZATION_RISK
/아파트집단등기,/오피스텔집단등기,0.993,0.993,CANNIBALIZATION_RISK
/아파트집단등기,/신축집단등기,0.993,0.993,CANNIBALIZATION_RISK
/오피스텔집단등기,/신축집단등기,0.993,0.993,CANNIBALIZATION_RISK
/신축보존등기,/건물보존등기,0.993,0.993,CANNIBALIZATION_RISK
/신축보존등기,/집합건물보존등기,0.993,0.993,CANNIBALIZATION_RISK
/신축보존등기,/오피스텔보존등기,0.993,0.993,CANNIBALIZATION_RISK
/신축보존등기,/상가보존등기,0.993,0.993,CANNIBALIZATION_RISK
/건물보존등기,/오피스텔보존등기,0.993,0.993,CANNIBALIZATION_RISK
/건물보존등기,/상가보존등기,0.993,0.993,CANNIBALIZATION_RISK
/집합건물보존등기,/상가보존등기,0.993,0.993,CANNIBALIZATION_RISK
/오피스텔보존등기,/상가보존등기,0.993,0.993,CANNIBALIZATION_RISK
/수영구개인회생,/북구개인회생,0.975,0.991,CANNIBALIZATION_RISK
/수영구개인회생,/사상구개인회생,0.975,0.991,CANNIBALIZATION_RISK
/복대리등기,/등기접수,0.989,0.989,CANNIBALIZATION_RISK
/전자등기,/전자신청,0.989,0.989,CANNIBALIZATION_RISK
/부산개인파산법무사,/부산파산법무사,0.989,0.989,CANNIBALIZATION_RISK
/업무사례/부산토성동법무사,/업무사례/부산동대신동법무사,0.987,0.987,CANNIBALIZATION_RISK
/등기완료기간,/등기얼마나걸리나요,0.985,0.985,CANNIBALIZATION_RISK
/신축보존등기,/사용승인후등기,0.985,0.985,CANNIBALIZATION_RISK
/건물보존등기,/사용승인후등기,0.985,0.985,CANNIBALIZATION_RISK
/집합건물보존등기,/사용승인후등기,0.985,0.985,CANNIBALIZATION_RISK
/오피스텔보존등기,/사용승인후등기,0.985,0.985,CANNIBALIZATION_RISK
/상가보존등기,/사용승인후등기,0.985,0.985,CANNIBALIZATION_RISK
/부산개인회생법무사추천,/부산개인회생상담,0.985,0.985,CANNIBALIZATION_RISK
/부산개인파산법무사추천,/부산개인파산상담,0.985,0.985,CANNIBALIZATION_RISK
/북구개인회생,/사상구개인회생,0.966,0.983,CANNIBALIZATION_RISK
/부산파산신청,/부산면책신청,0.982,0.982,CANNIBALIZATION_RISK
/업무사례/부산부민동법무사,/업무사례/부산암남동법무사,0.981,0.981,CANNIBALIZATION_RISK
/업무사례/부산개금동법무사,/업무사례/부산연지동법무사,0.981,0.98,CANNIBALIZATION_RISK
/업무사례/부산부전동법무사,/업무사례/부산전포동법무사,0.981,0.98,CANNIBALIZATION_RISK
/업무사례/부산금곡동법무사,/업무사례/부산만덕동법무사,0.98,0.98,CANNIBALIZATION_RISK
/업무사례/부산남항동법무사,/업무사례/부산동삼동법무사,0.98,0.979,CANNIBALIZATION_RISK
/업무사례/부산용당동법무사,/업무사례/부산문현동법무사,0.98,0.979,CANNIBALIZATION_RISK
/업무사례/부산대교동법무사,/업무사례/부산청학동법무사,0.979,0.979,CANNIBALIZATION_RISK
/업무사례/부산가야동법무사,/업무사례/부산범전동법무사,0.979,0.979,CANNIBALIZATION_RISK
/업무사례/부산명장동법무사,/업무사례/부산온천동법무사,0.979,0.979,CANNIBALIZATION_RISK
/전자신청,/등기보정,0.978,0.978,CANNIBALIZATION_RISK
/아파트집단등기,/집단등기실수모음,0.975,0.974,CANNIBALIZATION_RISK
/신축보존등기,/신축보존등기체크리스트,0.975,0.974,CANNIBALIZATION_RISK
/등록면허세,/전자신청,0.974,0.974,CANNIBALIZATION_RISK
/등록면허세,/등기보정,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기소제출,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기완료기간,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기접수,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기처리기간,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기준비서류,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기얼마나걸리나요,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/등기어디서하나요,0.974,0.974,CANNIBALIZATION_RISK
/전자신청,/부동산등기체크리스트,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기완료기간,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기접수,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기처리기간,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기준비서류,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기얼마나걸리나요,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/등기어디서하나요,0.974,0.974,CANNIBALIZATION_RISK
/등기보정,/부동산등기체크리스트,0.974,0.974,CANNIBALIZATION_RISK
/부산개인회생법무사추천,/부산개인회생신청,0.974,0.974,CANNIBALIZATION_RISK
/부산개인회생상담,/부산개인회생신청,0.974,0.974,CANNIBALIZATION_RISK
/부산개인회생상담,/개인회생체크리스트,0.974,0.974,CANNIBALIZATION_RISK
/법무사상담전준비,/상속등기실수모음,0.971,0.971,CANNIBALIZATION_RISK
/법무사방문전준비,/상속등기체크리스트,0.971,0.971,CANNIBALIZATION_RISK
/복대리등기,/등기복대리,0.971,0.971,CANNIBALIZATION_RISK
/복대리등기,/전자신청,0.971,0.971,CANNIBALIZATION_RISK
/복대리등기,/등기보정,0.971,0.971,CANNIBALIZATION_RISK
/등기복대리,/전자신청,0.971,0.971,CANNIBALIZATION_RISK
/등기복대리,/등기보정,0.971,0.971,CANNIBALIZATION_RISK
