query,observedRank,resultType,domain,url,title,snippet,brand,checkedAt
부산 상속포기 법무사,2,WEB_SITE,bms-sangsok.com,https://bms-sangsok.com/,(추정) 상속포기·한정승인,3개월 기한·가정법원 절차,김정민법무사,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,4,WEB_SITE,greeda.co.kr,https://greeda.co.kr/,부산 상속포기 안내,(추정) 포기·후순위·채무,그리다,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,6,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,**허브 URL 노출 — `/부산상속포기` 아님**,다옴,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,8,WEB_SITE,hero-law.co.kr,https://hero-law.co.kr/,상속포기 전문,(추정) 기한·효과 설명,히어로,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,1,AD,naver.com,https://searchad.naver.com/,부산 상속포기 법무사,(광고),—,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,10,WEB_SITE,renunciation-example.co.kr,https://example.co.kr/,(경쟁) 상속포기 단일 랜딩,포기 전용 H1·FAQ,경쟁사,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,12,WEB_SITE,daechung-law.com,https://daechung-law.com/,상속포기·한정승인,(추정),대한중앙,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,—,NOT_INDEXED,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속포기,부산 상속포기 법무사｜3개월 기한과…,(1페이지 관측 구간 미노출 또는 허브에 흡수),다옴,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,14,WEB_SITE,tistory.com,https://tistory.com/,(티스토리) 상속포기 비용·서류,LIVE_SERP_REVIEW_REQUIRED,외부,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,16,WEB_SITE,naver.com,https://cafe.naver.com/,(카페) 상속포기 후기,LIVE_SERP_REVIEW_REQUIRED,외부,2026-09-25T23:54:00+09:00
