service,urlA,urlB,similarity,level,note
INHERITANCE,/해운대구상속등기,/수영구상속등기,0.807,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/연제구상속등기,0.802,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/동래구상속등기,0.746,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/북구상속등기,0.788,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/금정구상속등기,0.747,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/사상구상속등기,0.792,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/해운대구상속등기,/기장군상속등기,0.843,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/연제구상속등기,0.784,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/동래구상속등기,0.763,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/북구상속등기,0.805,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/금정구상속등기,0.764,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/사상구상속등기,0.815,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/수영구상속등기,/기장군상속등기,0.778,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/연제구상속등기,/동래구상속등기,0.848,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/연제구상속등기,/북구상속등기,0.787,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/연제구상속등기,/금정구상속등기,0.849,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/연제구상속등기,/사상구상속등기,0.771,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/연제구상속등기,/기장군상속등기,0.746,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/동래구상속등기,/북구상속등기,0.751,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/동래구상속등기,/금정구상속등기,0.845,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/동래구상속등기,/사상구상속등기,0.754,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/동래구상속등기,/기장군상속등기,0.737,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/북구상속등기,/금정구상속등기,0.751,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/북구상속등기,/사상구상속등기,0.834,DUPLICATE_RISK,MERGE_CANDIDATE
INHERITANCE,/북구상속등기,/기장군상속등기,0.764,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/금정구상속등기,/사상구상속등기,0.754,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/금정구상속등기,/기장군상속등기,0.738,SIMILAR,MERGE_CANDIDATE
INHERITANCE,/사상구상속등기,/기장군상속등기,0.771,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/센텀부동산등기,0.856,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/수영구부동산등기,0.795,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/연제구부동산등기,0.778,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/동래구부동산등기,0.744,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/북구부동산등기,0.794,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/금정구부동산등기,0.741,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/사상구부동산등기,0.791,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/사하구부동산등기,0.724,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/해운대구부동산등기,/기장군부동산등기,0.841,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/수영구부동산등기,0.782,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/연제구부동산등기,0.762,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/동래구부동산등기,0.733,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/북구부동산등기,0.779,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/금정구부동산등기,0.730,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/사상구부동산등기,0.772,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/사하구부동산등기,0.715,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/센텀부동산등기,/기장군부동산등기,0.830,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/연제구부동산등기,0.783,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/동래구부동산등기,0.764,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/북구부동산등기,0.811,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/금정구부동산등기,0.764,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/사상구부동산등기,0.818,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/사하구부동산등기,0.729,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/수영구부동산등기,/기장군부동산등기,0.782,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/동래구부동산등기,0.856,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/북구부동산등기,0.796,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/금정구부동산등기,0.855,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/사상구부동산등기,0.775,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/사하구부동산등기,0.706,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/연제구부동산등기,/기장군부동산등기,0.748,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/동래구부동산등기,/북구부동산등기,0.759,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/동래구부동산등기,/금정구부동산등기,0.847,DUPLICATE_RISK,MERGE_CANDIDATE
REAL_ESTATE,/동래구부동산등기,/사상구부동산등기,0.758,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/동래구부동산등기,/사하구부동산등기,0.685,SIMILAR,MERGE_CANDIDATE
REAL_ESTATE,/동래구부동산등기,/기장군부동산등기,0.734,SIMILAR,MERGE_CANDIDATE
