keyword,cluster,search_intent,owner_url,notes
강사,generic-hiring,commercial,/부산법률강사,광범위. 법률·특강 맥락만
강사 추천,generic-hiring,commercial,/부산법률강사,가짜 순위 없음
강사 섭외,generic-hiring,commercial,/부산법률강사,지역 없음 → hiring hub
강사 초빙,generic-hiring,commercial,/부산법률강사,동일
외부강사,generic-hiring,commercial,/부산법률강사,동일
외부강사 섭외,generic-hiring,commercial,/부산법률강사,동일
전문강사,generic-hiring,commercial,/부산법률강사,동일
전문강사 섭외,generic-hiring,commercial,/부산법률강사,동일
전문가 특강,generic-hiring,commercial,/부산법률강사,동일
전문가 초청 특강,generic-hiring,commercial,/부산법률강사,동일
특강 강사,generic-hiring,commercial,/부산법률강사,동일
특강 강사 섭외,generic-hiring,commercial,/부산법률강사,동일
강연 강사,generic-hiring,commercial,/부산법률강사,동일
강연자 섭외,generic-hiring,commercial,/부산법률강사,동일
연사 섭외,generic-hiring,commercial,/부산법률강사,동일
초청 강사,generic-hiring,commercial,/부산법률강사,동일
세미나 강사,generic-hiring,commercial,/부산법률강사,동일
교육 강사,generic-hiring,commercial,/부산법률강사,법률교육 맥락
현직자 강사,career,commercial,/법무사진로특강,직업인·현직자 진로
현직자 특강,career,informational,/법무사진로특강,동일
현직자 초청 특강,career,informational,/법무사진로특강,동일
직업인 특강,career,informational,/법무사진로특강,학교 직업인 초청
직업인 초청 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM
전문 직업인 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM
찾아가는 직업인 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM
진로특강 강사,career,commercial,/법무사진로특강,PRIMARY career
진로교육 강사,career,commercial,/법무사진로특강,동일
법조인 진로특강,career,informational,/법무사진로특강,PRIMARY
법조인 초청 특강,career,informational,/법무사진로특강,동일
현직 법조인 특강,career,informational,/법무사진로특강,동일
법무사 직업특강,career,informational,/법무사진로특강,동일
전문직 진로특강,career,informational,/법무사진로특강,동일
고등학교 진로특강,school,informational,/법무사진로특강,진로 중심
고등학교 진로특강 강사,school,commercial,/법무사진로특강,PRIMARY school career
고등학교 강사,school,commercial,/학교법률교육,학교 허브
고등학교 외부강사,school,commercial,/학교법률교육,동일
학교 외부강사,school,commercial,/학교법률교육,동일
대학교 특강 강사,university,commercial,/학교법률교육,대학 슬롯
대학 외부강사,university,commercial,/학교법률교육,동일
대학생 진로특강,university,informational,/법무사진로특강,진로
대학생 현직자 특강,university,informational,/법무사진로특강,동일
현직자 멘토링,university,informational,/법무사진로특강,NEW_UNIVERSITY_TERM
비교과 특강 강사,university,commercial,/학교법률교육,NEW_UNIVERSITY_TERM
취업 진로 특강,university,informational,/법무사진로특강,동일
대학생 생활법률 특강,university,informational,/청년생활법률특강,생활법률
대학생 전세사기 예방교육,university,informational,/전세사기예방교육,주제
법률 특강 강사,generic-topic,commercial,/법률강의,GENERIC hub intent
진로 특강 강사,generic-topic,commercial,/법무사진로특강,GENERIC career
법률교육 강사,generic-topic,commercial,/법률강의,동일
생활법률 특강 강사,generic-topic,commercial,/법률강의,동일
기업교육 강사,corporate,commercial,/기업법률교육,지역 없음
임직원 법률교육,corporate,informational,/기업법률교육,동일
사내교육 강사,corporate,commercial,/기업법률교육,동일
공공기관 강사,public,commercial,/공공기관법률교육,지역 없음
기관 외부강사,public,commercial,/공공기관법률교육,동일
전세사기 예방 강사,jeonse,commercial,/전세사기예방교육,지역 없음
창업 법률 강사,startup,commercial,/창업법률교육,지역 없음
강사 프로필,admin-docs,informational,/강사소개,섭외 단계
강의계획서,admin-docs,informational,/부산강사섭외체크리스트,동일
특강 제안서,admin-docs,informational,/부산강사섭외체크리스트,동일
강사료,admin-cost,informational,/부산강사섭외비용,고정가 없음
외부강사 강사료,admin-cost,informational,/부산강사섭외비용,동일
출강료,admin-cost,informational,/부산강사섭외비용,동일
울산 법률강사,region-adjacent,commercial,/부산법률강사,출강 협의. clone page 금지
창원 청년특강 강사,region-adjacent,commercial,/청년생활법률특강,창원청년비전센터 이력
양산 진로특강 강사,region-adjacent,commercial,/법무사진로특강,양산제일고 이력
김해 법률특강,region-adjacent,informational,/법률강의,출강 협의 only
경남 진로강사,region-adjacent,commercial,/법무사진로특강,실적 기반
