keyword,cluster,search_intent,owner_url,whyRelevant,existingPage,recommendedAction
강사,generic-hiring,commercial,/부산법률강사,광범위. 법률·특강 맥락만,/부산법률강사,MAP_EXISTING
강사 추천,generic-hiring,commercial,/부산법률강사,가짜 순위 없음,/부산법률강사,MAP_EXISTING
강사 섭외,generic-hiring,commercial,/부산법률강사,지역 없음 → hiring hub,/부산법률강사,MAP_EXISTING
강사 초빙,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
외부강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
외부강사 섭외,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
전문강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
전문강사 섭외,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
전문가 특강,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
전문가 초청 특강,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
특강 강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
특강 강사 섭외,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
강연 강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
강연자 섭외,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
연사 섭외,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
초청 강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
세미나 강사,generic-hiring,commercial,/부산법률강사,동일,/부산법률강사,MAP_EXISTING
교육 강사,generic-hiring,commercial,/부산법률강사,법률교육 맥락,/부산법률강사,MAP_EXISTING
현직자 강사,career,commercial,/법무사진로특강,직업인·현직자 진로,/법무사진로특강,MAP_EXISTING
현직자 특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
현직자 초청 특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
직업인 특강,career,informational,/법무사진로특강,학교 직업인 초청,/법무사진로특강,MAP_EXISTING
직업인 초청 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM,/법무사진로특강,MAP_EXISTING
전문 직업인 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM,/법무사진로특강,MAP_EXISTING
