a,b,mode,score
/해운대법무사,/수영구법무사,local-norm,0.479
/해운대법무사,/동래구법무사,local-norm,0.479
/해운대법무사,/부산진구법무사,local-norm,0.461
/해운대법무사,/기장군법무사,local-norm,0.454
/수영구법무사,/동래구법무사,local-norm,0.491
/수영구법무사,/부산진구법무사,local-norm,0.5
/수영구법무사,/남구법무사,local-norm,0.494
/수영구법무사,/사하구법무사,local-norm,0.477
/수영구법무사,/동구법무사,local-norm,0.46
/동래구법무사,/부산진구법무사,local-norm,0.498
/동래구법무사,/중구법무사,local-norm,0.461
/동래구법무사,/동구법무사,local-norm,0.485
/부산진구법무사,/남구법무사,local-norm,0.456
/부산진구법무사,/금정구법무사,local-norm,0.463
/부산진구법무사,/중구법무사,local-norm,0.481
/부산진구법무사,/영도구법무사,local-norm,0.463
/부산진구법무사,/동구법무사,local-norm,0.511
/남구법무사,/금정구법무사,local-norm,0.5
/남구법무사,/북구법무사,local-norm,0.471
/남구법무사,/기장군법무사,local-norm,0.519
/남구법무사,/사상구법무사,local-norm,0.463
/남구법무사,/사하구법무사,local-norm,0.528
/남구법무사,/서구법무사,local-norm,0.46
/남구법무사,/영도구법무사,local-norm,0.51
/남구법무사,/강서구법무사,local-norm,0.539
/남구법무사,/동구법무사,local-norm,0.544
/금정구법무사,/북구법무사,local-norm,0.484
/금정구법무사,/기장군법무사,local-norm,0.514
/금정구법무사,/사상구법무사,local-norm,0.524
/금정구법무사,/사하구법무사,local-norm,0.583
/금정구법무사,/서구법무사,local-norm,0.502
/금정구법무사,/영도구법무사,local-norm,0.575
/금정구법무사,/강서구법무사,local-norm,0.56
/금정구법무사,/동구법무사,local-norm,0.572
/북구법무사,/기장군법무사,local-norm,0.502
/북구법무사,/사상구법무사,local-norm,0.506
/북구법무사,/사하구법무사,local-norm,0.498
/북구법무사,/강서구법무사,local-norm,0.485
/북구법무사,/동구법무사,local-norm,0.502
/기장군법무사,/사상구법무사,local-norm,0.5
/기장군법무사,/사하구법무사,local-norm,0.541
/기장군법무사,/서구법무사,local-norm,0.459
/기장군법무사,/영도구법무사,local-norm,0.472
/기장군법무사,/강서구법무사,local-norm,0.514
/기장군법무사,/동구법무사,local-norm,0.52
/사상구법무사,/사하구법무사,local-norm,0.57
/사상구법무사,/서구법무사,local-norm,0.468
/사상구법무사,/영도구법무사,local-norm,0.471
/사상구법무사,/강서구법무사,local-norm,0.488
/사상구법무사,/동구법무사,local-norm,0.506
/사하구법무사,/서구법무사,local-norm,0.545
/사하구법무사,/영도구법무사,local-norm,0.526
/사하구법무사,/강서구법무사,local-norm,0.555
/사하구법무사,/동구법무사,local-norm,0.547
/서구법무사,/영도구법무사,local-norm,0.489
/서구법무사,/동구법무사,local-norm,0.565
/영도구법무사,/강서구법무사,local-norm,0.53
/영도구법무사,/동구법무사,local-norm,0.535
/강서구법무사,/동구법무사,local-norm,0.514
