term,url,category,title,h1,indexable,canonical,sitemap,word_count,current_primary_query,incoming_links,outgoing_links,existing_service_owner,searchadvisor_impressions,searchadvisor_clicks,searchadvisor_ctr,business_intent_score,service_fit_score,seo_collision_score,recommended_action,reason
상속등기,/glossary/inheritance-registration,inheritance,상속등기 용어 확인 | 다옴법무사사무소,상속등기,false,/부산상속등기,false,616,상속등기 다음 절차,66,36,/부산상속등기,UNKNOWN,UNKNOWN,UNKNOWN,88,95,88,SUPPORT_NOINDEX,owner=/부산상속등기; final=69; Search Advisor UNKNOWN
상속포기,/glossary/inheritance-renunciation,inheritance,상속포기 용어 확인 | 다옴법무사사무소,상속포기,false,/부산상속포기,false,571,상속포기 신청 전 확인,66,36,/부산상속포기,UNKNOWN,UNKNOWN,UNKNOWN,92,95,88,SUPPORT_NOINDEX,owner=/부산상속포기; final=70; Search Advisor UNKNOWN
한정승인,/glossary/qualified-acceptance,inheritance,한정승인 용어 확인 | 다옴법무사사무소,한정승인,false,/부산한정승인,false,544,한정승인 신청 전 확인,16,36,/부산한정승인,UNKNOWN,UNKNOWN,UNKNOWN,92,95,88,SUPPORT_NOINDEX,owner=/부산한정승인; final=70; Search Advisor UNKNOWN
특별한정승인,/glossary/special-qualified-acceptance,inheritance,특별한정승인 용어 확인 | 다옴법무사사무소,특별한정승인,false,/특별한정승인,false,590,상속포기 기한 지난 뒤,18,36,/특별한정승인,UNKNOWN,UNKNOWN,UNKNOWN,86,90,72,SUPPORT_NOINDEX,owner=/특별한정승인; final=71; Search Advisor UNKNOWN
상속재산분할협의서,/glossary/inheritance-division-agreement,inheritance,상속재산분할협의서 용어 확인 | 다옴법무사사무소,상속재산분할협의서,false,/상속재산분할협의서준비,false,634,부동산을 한 명 앞으로 상속,12,36,/상속재산분할협의서준비,UNKNOWN,UNKNOWN,UNKNOWN,84,92,70,SUPPORT_NOINDEX,owner=/상속재산분할협의서준비; final=72; Search Advisor UNKNOWN
유류분,/glossary/statutory-reserve-share,inheritance,유류분 용어 확인 | 다옴법무사사무소,유류분,false,/유류분과상속등기,false,594,유류분과 상속등기 관계,4,36,/유류분과상속등기,UNKNOWN,UNKNOWN,UNKNOWN,58,32,60,REMOVE_FROM_DISCOVERY,owner=/유류분과상속등기; final=40; Search Advisor UNKNOWN
법정상속순위,/glossary/legal-inheritance-order,inheritance,법정상속순위 용어 확인 | 다옴법무사사무소,법정상속순위,false,/glossary/legal-inheritance-order,false,562,상속인이 누구인지 확인,0,36,/부산상속등기,UNKNOWN,UNKNOWN,UNKNOWN,48,72,78,SUPPORT_NOINDEX,owner=/부산상속등기; final=48; Search Advisor UNKNOWN
대습상속,/glossary/subrogation-inheritance,inheritance,대습상속 용어 확인 | 다옴법무사사무소,대습상속,false,/대습상속등기,false,534,자녀가 먼저 사망한 상속등기,4,36,/대습상속등기,UNKNOWN,UNKNOWN,UNKNOWN,78,90,68,SUPPORT_NOINDEX,owner=/대습상속등기; final=70; Search Advisor UNKNOWN
근저당,/glossary/mortgage,real-estate,근저당 용어 확인 | 다옴법무사사무소,근저당,false,/glossary/mortgage,false,506,대출 갚은 뒤 근저당 말소,24,36,/부산근저당말소등기,UNKNOWN,UNKNOWN,UNKNOWN,86,95,86,SUPPORT_NOINDEX,owner=/부산근저당말소등기; final=68; Search Advisor UNKNOWN
가압류,/glossary/provisional-attachment,rights,가압류 용어 확인 | 다옴법무사사무소,가압류,false,/부산가압류말소등기,false,571,등기부 가압류 말소,22,36,/부산가압류말소등기,UNKNOWN,UNKNOWN,UNKNOWN,68,78,72,SUPPORT_NOINDEX,owner=/부산가압류말소등기; final=60; Search Advisor UNKNOWN
