page_a,page_b,shared_paragraphs,shared_headings,semantic_similarity,owner_overlap
/상속,/부산상속법무사,0,0,0.128,LOW
/상속,/부산상속포기,0,0,0.105,LOW
/상속,/부산상속등기,0,0,0.117,LOW
/상속,/부산한정승인,0,0,0.115,LOW
/상속,/상속포기비용,0,0,0.098,LOW
/상속,/services/inheritance-registration,0,0,0.091,LOW
/상속,/전국상속등기,0,0,0.089,LOW
/부산상속법무사,/부산상속포기,0,3,0.166,LOW
/부산상속법무사,/부산상속등기,0,2,0.187,LOW
/부산상속법무사,/부산한정승인,0,2,0.132,LOW
/부산상속법무사,/상속포기비용,0,2,0.123,LOW
/부산상속법무사,/services/inheritance-registration,0,0,0.078,LOW
/부산상속법무사,/전국상속등기,0,0,0.053,LOW
/부산상속포기,/부산상속등기,0,3,0.138,LOW
/부산상속포기,/부산한정승인,0,3,0.162,LOW
/부산상속포기,/상속포기비용,0,3,0.1,LOW
/부산상속포기,/services/inheritance-registration,0,0,0.07,LOW
/부산상속포기,/전국상속등기,0,0,0.05,LOW
/부산상속등기,/부산한정승인,0,3,0.15,LOW
/부산상속등기,/상속포기비용,0,3,0.096,LOW
/부산상속등기,/services/inheritance-registration,0,0,0.081,LOW
/부산상속등기,/전국상속등기,0,0,0.09,LOW
/부산한정승인,/상속포기비용,0,3,0.104,LOW
/부산한정승인,/services/inheritance-registration,0,0,0.062,LOW
/부산한정승인,/전국상속등기,0,0,0.06,LOW
/상속포기비용,/services/inheritance-registration,0,0,0.098,LOW
/상속포기비용,/전국상속등기,0,0,0.057,LOW
/services/inheritance-registration,/전국상속등기,0,0,0.077,LOW
