page_a,page_b,raw_similarity,normalized_similarity,repeated_paragraph_count,shared_heading_ratio
/상속,/부산상속법무사,0.1526,0.1569,0,0.0000
/상속,/부산상속등기,0.1301,0.1301,0,0.0000
/상속,/부산상속포기,0.1439,0.1439,0,0.0000
/상속,/부산한정승인,0.1602,0.1602,0,0.0000
/상속,/services/inheritance-registration,0.2853,0.2853,3,0.0000
/상속,/전국상속등기,0.1797,0.1797,0,0.0000
/부산상속법무사,/부산상속등기,0.2117,0.2064,0,0.1176
/부산상속법무사,/부산상속포기,0.2003,0.1994,0,0.1176
/부산상속법무사,/부산한정승인,0.2016,0.1858,0,0.1176
/부산상속법무사,/services/inheritance-registration,0.1045,0.1063,0,0.0000
/부산상속법무사,/전국상속등기,0.1062,0.1119,0,0.0000
/부산상속등기,/부산상속포기,0.1702,0.1702,0,0.3333
/부산상속등기,/부산한정승인,0.1514,0.1514,0,0.3333
/부산상속등기,/services/inheritance-registration,0.1069,0.1069,0,0.0000
/부산상속등기,/전국상속등기,0.1155,0.1155,0,0.0000
/부산상속포기,/부산한정승인,0.2206,0.2206,0,0.3333
/부산상속포기,/services/inheritance-registration,0.1037,0.1037,0,0.0000
/부산상속포기,/전국상속등기,0.1058,0.1058,0,0.0000
/부산한정승인,/services/inheritance-registration,0.1103,0.1103,0,0.0000
/부산한정승인,/전국상속등기,0.0955,0.0955,0,0.0000
/services/inheritance-registration,/전국상속등기,0.1759,0.1759,0,0.0000
