date,query,owner,impressions,clicks,ctr,averagePosition,source,note
2026-09-02,부산 상속전문 법무사,/부산상속법무사,,,,,Search Advisor,숫자를 추정하지 말 것. 실제 리포트만 기입.
2026-09-02,부산 상속 법무사,/부산상속법무사,,,,,Search Advisor,
2026-09-02,부산 법무사 상속,/부산상속법무사,,,,,Search Advisor,
2026-09-02,부산 상속포기 법무사,/부산상속포기,,,,,Search Advisor,
2026-09-02,부산 상속포기,/부산상속포기,,,,,Search Advisor,
2026-09-02,부산 한정승인 법무사,/부산한정승인,,,,,Search Advisor,
2026-09-02,부산 한정승인,/부산한정승인,,,,,Search Advisor,
2026-09-02,부산 상속등기 법무사,/부산상속등기,,,,,Search Advisor,
2026-09-02,부산 상속등기,/부산상속등기,,,,,Search Advisor,
2026-09-02,부산 법무사 상담,/부산법무사상담,,,,,Search Advisor,
2026-09-02,부산 법무사,/,Search Advisor,HOME title/H1 동결. 성과 숫자 미기입.
2026-09-02,부산 법무사 추천,/부산법무사추천,,,,,Search Advisor,
