keyword,cluster,search_intent,owner_url,secondary_url,status,impressions,clicks,ctr,notes
부산 법률 강의,pillar-hub,informational,/법률강의,,UNKNOWN,,,,PILLAR PRIMARY
부산 법률 특강,pillar-hub,informational,/법률강의,/부산법률강사,UNKNOWN,,,,PILLAR PRIMARY 동의어
부산법률강의,pillar-hub,informational,/법률강의,,UNKNOWN,,,,표기 변형
맞춤형 법률교육,pillar-hub,informational,/법률강의,,UNKNOWN,,,,형식 동의어
부산 생활법률 강의,pillar-hub,informational,/법률강의,/부산도서관법률특강,UNKNOWN,,,,주제 secondary. 도서관 페이지와 분리
부산 생활법률 특강,pillar-hub,informational,/법률강의,/부산도서관법률특강,UNKNOWN,,,,주제 secondary
부산 법률교육 강사,hiring,commercial,/부산법률강사,/법률강의,UNKNOWN,,,,강사 선택 의도
부산 법률 세미나,pillar-hub,informational,/법률강의,,UNKNOWN,,,,형식 동의어. 별도 URL 없음
부산 법률 워크숍,pillar-hub,informational,/법률강의,,UNKNOWN,,,,형식 동의어
부산 법률 워크샵,pillar-hub,informational,/법률강의,,UNKNOWN,,,,철자 변형
부산 찾아가는 강의,pillar-hub,informational,/법률강의,,UNKNOWN,,,,출강 형식. FAQ/본문 대응
부산 찾아가는 특강,pillar-hub,informational,/법률강의,,UNKNOWN,,,,출강 형식
부산 방문교육 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,출강 강사 선택
부산 출장강의,pillar-hub,informational,/법률강의,,UNKNOWN,,,,출강 형식
부산 출강 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,강사 선택
부산 맞춤형 특강,pillar-hub,informational,/법률강의,,UNKNOWN,,,,형식
부산 맞춤교육,pillar-hub,informational,/법률강의,,UNKNOWN,,,,형식
부산 1시간 특강,admin-duration,informational,/강의시간별구성,/강의문의,UNKNOWN,,,,시간 구성 가이드
부산 단체교육 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,기관 단체 교육 강사
부산 강의 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,TRANSACTIONAL PRIMARY
부산 특강 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,동일 문의 의도
부산 강연 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,동일 문의 의도
부산 출강 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,동일 문의 의도
강의 제안 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,제안·일정 협의
법률 강의 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,표기 변형
출강 문의,inquiry,transactional,/강의문의,,UNKNOWN,,,,표기 변형
부산 강사 섭외,hiring,commercial,/부산법률강사,,UNKNOWN,,,,COMMERCIAL PRIMARY. 기존 URL 유지(/부산강사초빙 없음)
부산 강사 초빙,hiring,commercial,/부산법률강사,,UNKNOWN,,,,PRIMARY 동의어
부산 외부강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일 섭외 의도
부산 외부 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,표기 변형
부산 외부강사 섭외,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 외부강사 초빙,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 특강 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,강사 선택. 허브 title과 분리
부산 강연 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 강의 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 초청강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 강연자 섭외,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 강사 문의,hiring,commercial,/부산법률강사,/강의문의,UNKNOWN,,,,섭외 검토 후 문의는 /강의문의
부산 강사 출강,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 법률 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,전문영역 한정
부산 법률 강사 섭외,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
생활법률 강사,hiring,commercial,/부산법률강사,/법률강의,UNKNOWN,,,,주제+강사
법률 강사 섭외,hiring,commercial,/부산법률강사,,UNKNOWN,,,,지역 없는 변형
부산 교육 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,광범위. title에 사용하지 않음
부산 기관 강사,hiring,commercial,/부산법률강사,/부산기관법률특강,UNKNOWN,,,,기관 유형은 허브 섹션
부산 법무사 강사,hiring,commercial,/부산법률강사,/부산법무사강의,UNKNOWN,,,,법무사 정체성+강사
부산 법률특강 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 법률 강연 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 전문가 초빙,hiring,commercial,/부산법률강사,/부산법률전문가,UNKNOWN,,,,전문가 허브와 구분
부산 전문가 섭외,hiring,commercial,/부산법률강사,/부산법률전문가,UNKNOWN,,,,동일
부산 전문가 강사,hiring,commercial,/부산법률강사,,UNKNOWN,,,,동일
부산 강사 추천,hiring,commercial,/부산법률강사,,UNKNOWN,,,,가짜 순위 페이지 없음. 선택 기준으로 대응
부산 특강 강사 추천,hiring,commercial,/부산법률강사,,UNKNOWN,,,,가짜 추천 페이지 없음
부산 강연자 추천,hiring,commercial,/부산법률강사,,UNKNOWN,,,,가짜 추천 페이지 없음
부산 강사,skip-wide,commercial,/부산법률강사,,UNKNOWN,,,,매우 넓은 검색어. title/H1에 사용하지 않음. 법률 맥락만
부산 강연,skip-wide,informational,/법률강의,,UNKNOWN,,,,광범위. 법률 특강 맥락
부산 교육,skip-wide,informational,/법률강의,,UNKNOWN,,,,광범위. 사이트 정체성(법무사) 유지
부산 전세사기 예방교육,jeonse,informational,/전세사기예방교육,,UNKNOWN,,,,주제 PRIMARY
부산 전세사기 강의,jeonse,informational,/전세사기예방교육,,UNKNOWN,,,,동일 의도
부산 전세사기 특강,jeonse,informational,/전세사기예방교육,,UNKNOWN,,,,동일
부산 전세사기 예방 강사,jeonse,commercial,/전세사기예방교육,,UNKNOWN,,,,주제+강사. 별도 URL 없음
부산 전월세 계약 교육,jeonse,informational,/전세사기예방교육,,UNKNOWN,,,,동일 클러스터
부산 부동산 계약 강의,jeonse,informational,/전세사기예방교육,/기업법률교육,UNKNOWN,,,,주거계약 교육
부산 부동산 법률교육,jeonse,informational,/전세사기예방교육,/법률강의,UNKNOWN,,,,주거 중심
부산 등기부등본 교육 강사,jeonse,commercial,/전세사기예방교육,,UNKNOWN,,,,커리큘럼 항목
부산 주거안전 강사,jeonse,commercial,/전세사기예방교육,,UNKNOWN,,,,관련 표현
부산 청년 법률교육,youth,informational,/청년생활법률특강,,UNKNOWN,,,,주제 PRIMARY
부산 청년 생활법률,youth,informational,/청년생활법률특강,,UNKNOWN,,,,동일
부산 청년 법률특강,youth,informational,/청년생활법률특강,,UNKNOWN,,,,동일
부산 청년 생활법률 특강,youth,informational,/청년생활법률특강,,UNKNOWN,,,,동일
부산 청년 특강 강사,youth,commercial,/청년생활법률특강,,UNKNOWN,,,,주제+강사
부산 청년교육 강사,youth,commercial,/청년생활법률특강,,UNKNOWN,,,,동일
