keyword,region_type,parent_region,target_url,current_title,current_h1,indexable,canonical,in_sitemap,internal_links_in,internal_links_out,word_count,unique_word_count,similarity_group,priority,status
중구 법무사,DISTRICT,부산광역시,/중구법무사,중구 법무사 | 남포·원도심 상가·법인 주소,"중구 법무사, 남포·중앙 원도심 상가와 법인 주소를 볼 때",true,/중구법무사,true,50,10,532,285,DISTRICT,DISTRICT,KEEP_INDEX
서구 법무사,DISTRICT,부산광역시,/서구법무사,서구 법무사 | 충무·송도 주택·상속 등기,"서구 법무사, 충무·동대신·송도 주택과 상속을 볼 때",true,/서구법무사,true,50,10,390,228,DISTRICT,DISTRICT,KEEP_INDEX
동구 법무사,DISTRICT,부산광역시,/동구법무사,동구 법무사 | 부산역·초량 상가·등기 상담,"동구 법무사, 부산역·초량·범일 역세권 상가와 주택을 볼 때",true,/동구법무사,true,44,10,362,206,DISTRICT,DISTRICT,KEEP_INDEX
영도구 법무사,DISTRICT,부산광역시,/영도구법무사,영도구 법무사 | 남항·동삼 부동산·법인 등기,"영도구 법무사, 남항·동삼 주거와 법인 등기를 볼 때",true,/영도구법무사,true,50,10,358,213,DISTRICT,DISTRICT,KEEP_INDEX
부산진구 법무사,DISTRICT,부산광역시,/부산진구법무사,부산진구 법무사 | 서면·부전·전포 상가·등기 상담,"부산진구 법무사, 서면·전포 상가와 주거 등기를 어떻게 나누나요",true,/부산진구법무사,true,70,10,425,253,DISTRICT,DISTRICT,KEEP_INDEX
동래구 법무사,DISTRICT,부산광역시,/동래구법무사,동래구 법무사 | 사직·온천 상속·부동산등기 안내,"동래구 법무사, 사직·온천·명륜에서 상속과 등기를 나누는 방법",true,/동래구법무사,true,66,10,437,261,DISTRICT,DISTRICT,KEEP_INDEX
남구 법무사,DISTRICT,부산광역시,/남구법무사,남구 법무사 | 대연·용호·문현 법인·부동산 상담,"남구 법무사, 대연·용호 주거와 문현 법인을 나누는 안내",true,/남구법무사,true,62,10,314,180,DISTRICT,DISTRICT,KEEP_INDEX
북구 법무사,DISTRICT,부산광역시,/북구법무사,북구 법무사 | 화명·덕천 상속·회생 상담,"북구 법무사, 화명·덕천·구포에서 상속과 회생을 나누는 방법",true,/북구법무사,true,60,10,355,212,DISTRICT,DISTRICT,KEEP_INDEX
해운대 법무사,DISTRICT,부산광역시,/해운대법무사,해운대 법무사 | 센텀·재송·우동 부동산·상속 상담,"해운대 법무사, 센텀·재송·우동에서 맡길 수 있는 업무",true,/해운대법무사,true,1600,28,487,282,DISTRICT,DISTRICT,KEEP_INDEX
사하구 법무사,DISTRICT,부산광역시,/사하구법무사,사하구 법무사 | 하단·괴정 주택·상속 등기,"사하구 법무사, 하단·괴정·다대 주택과 상속을 볼 때",true,/사하구법무사,true,62,10,348,191,DISTRICT,DISTRICT,KEEP_INDEX
