page_a,page_b,raw_similarity,normalized_similarity,heading_similarity,faq_similarity,risk
/해운대법무사,/수영구법무사,0.437,0.459,0.575,0.600,REVIEW
/해운대법무사,/동래구법무사,0.439,0.465,0.523,0.636,REVIEW
/재송동법무사,/반여동법무사,0.450,0.455,0.727,0.526,REVIEW
/재송동법무사,/수영구법무사,0.437,0.454,0.605,0.667,REVIEW
/반여동법무사,/남구법무사,0.455,0.460,0.625,0.435,REVIEW
/반여동법무사,/금정구법무사,0.472,0.486,0.700,0.478,REVIEW
/반여동법무사,/북구법무사,0.498,0.504,0.656,0.429,REVIEW
/반여동법무사,/기장군법무사,0.498,0.498,0.667,0.500,REVIEW
/반여동법무사,/사상구법무사,0.484,0.485,0.677,0.500,REVIEW
/반여동법무사,/사하구법무사,0.509,0.514,0.645,0.462,REVIEW
/반여동법무사,/강서구법무사,0.469,0.471,0.667,0.500,REVIEW
/반여동법무사,/동구법무사,0.456,0.467,0.625,0.333,REVIEW
/수영구법무사,/동래구법무사,0.455,0.476,0.561,0.667,REVIEW
/수영구법무사,/부산진구법무사,0.453,0.478,0.605,0.611,REVIEW
/수영구법무사,/남구법무사,0.466,0.470,0.556,0.813,REVIEW
/수영구법무사,/사하구법무사,0.448,0.452,0.571,0.545,REVIEW
/동래구법무사,/부산진구법무사,0.491,0.483,0.585,0.571,REVIEW
/동래구법무사,/동구법무사,0.483,0.465,0.500,0.667,REVIEW
/부산진구법무사,/중구법무사,0.470,0.457,0.556,0.393,REVIEW
/부산진구법무사,/동구법무사,0.497,0.483,0.583,0.393,REVIEW
/남구법무사,/금정구법무사,0.445,0.461,0.645,0.500,REVIEW
/남구법무사,/기장군법무사,0.483,0.493,0.667,0.522,REVIEW
/남구법무사,/사하구법무사,0.494,0.495,0.645,0.480,REVIEW
/남구법무사,/영도구법무사,0.462,0.478,0.700,0.423,REVIEW
/남구법무사,/강서구법무사,0.485,0.493,0.667,0.400,REVIEW
/남구법무사,/동구법무사,0.490,0.509,0.625,0.500,REVIEW
/금정구법무사,/북구법무사,0.442,0.454,0.677,0.481,REVIEW
/금정구법무사,/기장군법무사,0.464,0.478,0.690,0.565,REVIEW
/금정구법무사,/사상구법무사,0.480,0.491,0.700,0.393,REVIEW
/금정구법무사,/사하구법무사,0.530,0.549,0.667,0.583,REVIEW
/금정구법무사,/서구법무사,0.487,0.463,0.667,0.323,REVIEW
/금정구법무사,/영도구법무사,0.564,0.542,0.667,0.520,REVIEW
/금정구법무사,/강서구법무사,0.502,0.518,0.690,0.565,REVIEW
/금정구법무사,/동구법무사,0.564,0.541,0.645,0.481,REVIEW
/북구법무사,/기장군법무사,0.466,0.472,0.645,0.448,REVIEW
/북구법무사,/사상구법무사,0.487,0.478,0.656,0.364,REVIEW
/북구법무사,/사하구법무사,0.463,0.467,0.625,0.419,REVIEW
/북구법무사,/동구법무사,0.461,0.474,0.606,0.438,REVIEW
/기장군법무사,/사상구법무사,0.463,0.465,0.667,0.464,REVIEW
/기장군법무사,/사하구법무사,0.498,0.504,0.690,0.600,REVIEW
/기장군법무사,/강서구법무사,0.466,0.470,0.714,0.407,REVIEW
/기장군법무사,/동구법무사,0.471,0.485,0.724,0.448,REVIEW
/사상구법무사,/사하구법무사,0.533,0.537,0.645,0.483,REVIEW
/사상구법무사,/동구법무사,0.464,0.473,0.625,0.364,REVIEW
/사하구법무사,/서구법무사,0.496,0.512,0.786,0.324,REVIEW
/사하구법무사,/영도구법무사,0.477,0.489,0.667,0.500,REVIEW
/사하구법무사,/강서구법무사,0.513,0.511,0.690,0.429,REVIEW
/사하구법무사,/동구법무사,0.498,0.513,0.645,0.517,REVIEW
/서구법무사,/영도구법무사,0.473,0.451,0.667,0.286,REVIEW
/서구법무사,/동구법무사,0.550,0.531,0.645,0.469,REVIEW
/영도구법무사,/강서구법무사,0.475,0.487,0.750,0.379,REVIEW
/영도구법무사,/동구법무사,0.525,0.502,0.645,0.419,REVIEW
/강서구법무사,/동구법무사,0.461,0.473,0.667,0.400,REVIEW
/남천동법무사,/대연동법무사,0.483,0.490,0.900,0.533,REVIEW
/남천동법무사,/덕천동법무사,0.465,0.471,0.850,0.500,REVIEW
/남천동법무사,/하단법무사,0.476,0.479,0.857,0.500,REVIEW
/대연동법무사,/덕천동법무사,0.473,0.480,0.850,0.533,REVIEW
/대연동법무사,/명지법무사,0.462,0.463,0.739,0.563,REVIEW
/대연동법무사,/정관법무사,0.479,0.482,0.739,0.500,REVIEW
/대연동법무사,/하단법무사,0.496,0.500,0.773,0.643,REVIEW
/덕천동법무사,/명지법무사,0.450,0.450,0.773,0.444,REVIEW
/덕천동법무사,/하단법무사,0.461,0.463,0.810,0.500,REVIEW
/명지법무사,/정관법무사,0.500,0.498,0.750,0.421,REVIEW
/명지법무사,/하단법무사,0.455,0.452,0.708,0.444,REVIEW
/정관법무사,/하단법무사,0.455,0.454,0.708,0.471,REVIEW
