query,rank,url,score,expected_owner,pass
부산 법무사,1,/,269,/,true
부산 법무사,2,/부산법무사비용,198,/,true
부산 법무사,3,/부산법무사보수표,198,/,true
부산 법무사,4,/부산법무사무소,198,/,true
부산 법무사,5,/부산법무사상담,189,/,true
부산 법무사 상담,1,/부산법무사상담,227,/부산법무사상담,true
부산 법무사 상담,2,/상속,69,/부산법무사상담,true
부산 법무사 상담,3,/부산법무사,68,/부산법무사상담,true
부산 법무사 상담,4,/부산부동산등기법무사,63,/부산법무사상담,true
부산 법무사 상담,5,/업무사례/양산거주부산부동산상속,63,/부산법무사상담,true
부산 법무사 추천,1,/부산법무사추천,197,/부산법무사추천,true
부산 법무사 추천,2,/부산법무사,65,/부산법무사추천,true
부산 법무사 추천,3,/부산법무사무소,57,/부산법무사추천,true
부산 법무사 추천,4,/부산법무사비용,48,/부산법무사추천,true
부산 법무사 추천,5,/부산법무사보수표,48,/부산법무사추천,true
부산 법무사 비용,1,/부산법무사비용,230,/부산법무사비용,true
부산 법무사 비용,2,/법무사비용,166,/부산법무사비용,true
부산 법무사 비용,3,/법무사수임료,122,/부산법무사비용,true
부산 법무사 비용,4,/법무사보수,116,/부산법무사비용,true
부산 법무사 비용,5,/부산법무사,68,/부산법무사비용,true
부산 법무사 수수료,1,/부산법무사,65,/부산법무사비용,false
부산 법무사 수수료,2,/부산법무사비용,60,/부산법무사비용,false
부산 법무사 수수료,3,/부산법무사보수표,54,/부산법무사비용,false
부산 법무사 수수료,4,/업무사례/김해상속등기비용,51,/부산법무사비용,false
부산 법무사 수수료,5,/상속등기비용,48,/부산법무사비용,false
부산 법무사 보수,1,/부산법무사보수표,222,/부산법무사비용,false
부산 법무사 보수,2,/부산법무사,65,/부산법무사비용,false
부산 법무사 보수,3,/부산법무사보수,62,/부산법무사비용,false
부산 법무사 보수,4,/법무사보수,62,/부산법무사비용,false
부산 법무사 보수,5,/부산법무사비용,57,/부산법무사비용,false
부산 등기 법무사,1,/부산등기법무사,239,/부산등기법무사,true
부산 등기 법무사,2,/부산등기법무사추천,213,/부산등기법무사,true
부산 등기 법무사,3,/등기소근처법무사,131,/부산등기법무사,true
부산 등기 법무사,4,/부산부동산등기법무사,72,/부산등기법무사,true
부산 등기 법무사,5,/부산여성법무사,72,/부산등기법무사,true
부산 등기전문 법무사,1,/부산등기전문법무사,188,/부산등기법무사,false
부산 등기전문 법무사,2,/부산부동산등기전문법무사,63,/부산등기법무사,false
부산 등기전문 법무사,3,/부산법무사비용,48,/부산등기법무사,false
부산 등기전문 법무사,4,/부산법무사보수표,48,/부산등기법무사,false
부산 등기전문 법무사,5,/부산부동산등기법무사,48,/부산등기법무사,false
