file,issue,snippet
src\app\admin\monitoring\page.tsx,undefined,es: number | null | undefined) { if (minutes == null) retu
src\app\admin\notices\page.tsx,undefined,: string): string | undefined { if (!value) return undefin
src\app\admin\page.tsx,undefined,"ate != null ? ""%"" : undefined} note={ "
src\app\[landingSlug]\page.tsx,undefined, : undefined } /> <
src\components\admin\charts\ActivityByDayChart.tsx,undefined," string }> | null | undefined, ): ActivityDayCount[] { con"
src\components\admin\charts\FunnelChart.tsx,undefined,ue: number | null | undefined; rate?: number | null; }; e
src\components\admin\charts\HourlyTrafficChart.tsx,undefined, HourRow[] | null | undefined; yesterday?: HourRow[] | nul
src\components\admin\MetricCard.tsx,undefined,ue: number | null | undefined; compareValue?: number | nul
src\components\admin-console\AdminShell.tsx,undefined,"{current ? ""page"" : undefined} > "
src\components\b2b\PreservationB2BSections.tsx,undefined,"""project"" : undefined, }); }, [prep.ownerType,"
src\components\b2b\ProjectBriefForm.tsx,undefined,"? partner : undefined, service: service &&"
src\components\b2b\SharePrintBar.tsx,undefined," typeof window !== ""undefined"" ? window.location.href : """"; "
src\components\business\BusinessInquiryForm.tsx,undefined,"(typeof window === ""undefined"") { return { pag"
src\components\business\BusinessPageView.tsx,undefined,Images.home.trust : undefined} /> {content.kind
src\components\consult-wizard\ConsultWizardShell.tsx,undefined,desc ? ids.descId : undefined} > <div classNam
src\components\consultation\ConsultationPanel.tsx,undefined,"annelId): CTAType | undefined { switch (id) { case ""ph"
src\components\consultation\ConversionActionButtons.tsx,undefined,"ternal ? ""_blank"" : undefined} rel={ "
src\components\consultation\HeaderConsultationStatus.tsx,undefined,"{kakao ? ""_blank"" : undefined} rel={kakao ? ""noopene"
src\components\consultation\SidebarConsultationPanelFixed.tsx,undefined,aria-hidden={show ? undefined : true} > <SidebarCo
src\components\conversion\ConsultationInquiryForm.tsx,undefined,"(typeof window === ""undefined"") { return { pag"
src\components\conversion\InquiryFormLoader.tsx,undefined,"ams.get(""field"") ?? undefined; const from = searchParams.g"
src\components\credentials\BusinessCredentialSlot.tsx,undefined,f (path && slug !== undefined) { placement = forceDispla
src\components\cta\InquiryNaverCtaPair.tsx,undefined,sName={className || undefined}>{inquiry}</div>; } const
src\components\cta\NaverSmartPlaceCta.tsx,undefined,"ant, tone: Tone | undefined, ): VisualTone { if (tone =="
src\components\diagnosis\constants.ts,undefined,"string | string[] | undefined, ): boolean { if (value === "
src\components\diagnosis\DiagnosisForm.tsx,undefined,= useState<string | undefined>(); const questions = diagn
src\components\diagnosis\DiagnosisQuestion.tsx,undefined,string | string[] | undefined; onSingleChange: (value: str
src\components\home\HeroStage.tsx,undefined,.play().catch(() => undefined); return; } node
src\components\home\HomeFullpageSwiper.tsx,undefined, if (!hero) return undefined; const observer = new I
src\components\home\HomeHero.tsx,undefined,variants={reduced ? undefined : stagger} initial={r
src\components\inheritance\InheritanceJourneyNav.tsx,undefined,"={active ? ""step"" : undefined} > "
src\components\layout\CollaborationMegaMenu.tsx,undefined,"={active ? ""page"" : undefined} aria-expanded={open} "
src\components\layout\DesktopNavFlyout.tsx,undefined," typeof window === ""undefined"") return; const rect = tr"
src\components\layout\Header.tsx,undefined,"n ? ""mobile-menu"" : undefined} aria-label={m"
src\components\layout\MobileBottomCTA.tsx,undefined,"trackCtaEvent(kind, undefined, channel.href); } function Mo"
src\components\layout\MobileNav.tsx,undefined,"={active ? ""page"" : undefined} class"
src\components\layout\NavMenuLink.tsx,undefined,"={active ? ""page"" : undefined} onClick={onNavigate} "
src\components\layout\PublicOnly.tsx,undefined,me: string | null | undefined): boolean { return Boolean(p
src\components\lectures\history\LectureHistoryCard.tsx,undefined, : undefined } > 
src\components\lectures\LectureInquiryForm.tsx,undefined," typeof window !== ""undefined"" ? window.location.pathname : "
src\components\lectures\VerifiedLectureHistory.tsx,undefined,` : undefined)} </p> ) : n
src\components\local-landing\SearchIntentPageView.tsx,undefined, : undefined } /> <
src\components\local-landing\SelectionHubPageView.tsx,undefined,onsultPrep ? true : undefined} /> {isConsult
src\components\map\OfficeMap.tsx,undefined,"ectionObserver === ""undefined"") { const t = window.set"
src\components\media\ArticleVisual.tsx,undefined,"ArticleVisualTone | undefined): ""dark"" | ""light"" { if (ton"
src\components\nationwide-cases\NationwideCasePageView.tsx,undefined,ryRegion={region || undefined} fromPage={def.slu
src\components\navigation\Breadcrumb.tsx,undefined,"={isLast ? ""page"" : undefined} > "
src\components\navigation\SectionNavigator.tsx,undefined,"= useState<number | undefined>( undefined, ); const"
src\components\page-data\PageDataTemplate.tsx,undefined,"vice"" ? page.slug : undefined} placement={placement"
src\components\profile\ActivitySectionBlock.tsx,undefined,ction.image.width : undefined} height={imageOnTop ? 
src\components\profile\EeatFactThumb.tsx,undefined,= useState<string | undefined>( image.fallbackSrc ?? ima
src\components\profile\GridPagination.tsx,undefined,"isActive ? ""page"" : undefined} className={`inl"
src\components\profile\LawyerEeatProfile.tsx,undefined," sm:px-6 lg:px-8"" : undefined}> <div className={com"
src\components\quick-inquiry\QuickInquiryForm.tsx,undefined,errorId}-contact` : undefined} disabled={submitt
src\components\quick-inquiry\QuickInquiryProvider.tsx,undefined,"(typeof window === ""undefined"") { return { pageTit"
src\components\quick-inquiry\QuickInquiryShell.tsx,undefined,ibedby={completed ? undefined : ids.descId} > 
src\components\quick-inquiry\TurnstileWidget.tsx,undefined,"(typeof window === ""undefined"") return Promise.resolve(); "
src\components\search\SiteSearchButton.tsx,undefined,"te-search-drawer"" : undefined} title={open ? ""검색 닫기"" :"
src\components\search\SiteSearchDrawer.tsx,undefined,n-${activeIndex}` : undefined; return ( <div id
src\components\search\SiteSearchInput.tsx,undefined,boxId ? listboxId : undefined} aria-activedescendant
src\components\ux\AppClientShell.tsx,undefined,et idleId: number | undefined; let timeoutId: ReturnTyp
src\components\ux\NavigationProgress.tsx,undefined,"""페이지를 불러오는 중입니다."" : undefined} > <div className=""n"
src\data\diagnosis-pages\others.ts,undefined,"rviceSlug: string | undefined, detail: string, questions"
src\data\diagnosis-registry.ts,undefined,tring): Diagnosis | undefined { const normalized = slug.no
src\data\geo\busan-rail-stations.ts,undefined, BusanRailStation | undefined { return allBusanRailStation
src\data\lectures\history-summaries.ts,undefined,oryEntry): string | undefined { return entry.relatedLectur
src\data\lectures\history.ts,undefined,ctureHistoryEntry | undefined { return lectureHistory.find
src\data\lectures\lecture-intent-to-url-map.ts,undefined,ureIntentMapEntry | undefined { const q = keyword.trim();
src\data\lectures\lecture-keyword-to-url-map.ts,undefined,: string): string | undefined { const normalized = keywor
src\data\media\attorney-photo-inventory.ts,undefined,g): AttorneyPhoto | undefined { return ATTORNEY_PHOTOS.fin
src\data\seo\carousel-image-manifest.ts,undefined,ImageManifestItem | undefined { return CAROUSEL_IMAGE_MANI
src\data\seo\corporate-content-intents.ts,undefined,rateContentIntent | undefined { const q = keyword.trim(); 
src\data\seo\local-champion-overlays.ts,undefined,alChampionOverlay | undefined { if (regionId && LOCAL_CHA
src\data\seo\page-image-manifest.ts,undefined,ImageManifestItem | undefined { return PAGE_IMAGE_MANIFEST
src\data\seo\page-relations.ts,undefined,PageRelationEntry | undefined { return PAGE_RELATIONS.find
src\data\seo\region-service-overlays.ts,undefined,andingSlugOverlay | undefined { if (!slug) return undefine
src\data\seo\registry.ts,undefined,: SeoIntentEntity | undefined { return allSeoIntentEntitie
src\data\seo\station-section-content.ts,undefined,ionSectionContent | undefined { return stationSectionConte
src\data\seo-intent-articles\index.ts,undefined, SeoIntentArticle | undefined { return allSeoIntentArticle
src\lib\admin\session.ts,undefined,ken(token: string | undefined): boolean { if (!token) retu
src\lib\admin\source-breakdown.ts,undefined,"ces: SourceCounts | undefined, limit = 6, ): SourceShare[]"
src\lib\admin\url-display.ts,undefined,(n: number | null | undefined): string { if (n == null || 
src\lib\admin-ops\analytics-exclude.ts,undefined,"(typeof window === ""undefined"") return """"; return window."
src\lib\admin-ops\beacon.ts,undefined," typeof crypto !== ""undefined"" && typeof crypto.randomUUID ="
src\lib\admin-ops\outbound-href.ts,undefined,"ef( raw: string | undefined | null, origin?: string, ): "
src\lib\admin-ops\session-web.ts,undefined,"( token: string | undefined, secret: string, ): Promise<"
src\lib\admin-ops\track-client.ts,undefined,"(typeof window !== ""undefined"" ? window.location.pathname : "
src\lib\admin-ops\utils.ts,undefined,"( host: string | undefined, extraHost?: string, ): bo"
