cluster,page_a,page_b,raw_similarity,normalized_similarity
core,/,/부산법무사,0.0794,0.0798
core,/,/부산법무사상담,0.6500,0.6500
core,/,/부산법무사추천,0.5326,0.5054
core,/,/부산법무사비용,0.0726,0.0728
core,/부산법무사,/부산법무사상담,0.0833,0.0739
core,/부산법무사,/부산법무사추천,0.0798,0.0711
core,/부산법무사,/부산법무사비용,0.1436,0.1357
core,/부산법무사상담,/부산법무사추천,0.5976,0.5802
core,/부산법무사상담,/부산법무사비용,0.0642,0.0612
core,/부산법무사추천,/부산법무사비용,0.0764,0.0738
inheritance,/상속,/부산상속법무사,0.1085,0.1087
inheritance,/상속,/부산상속등기,0.1120,0.1090
inheritance,/상속,/부산상속포기,0.1026,0.1054
inheritance,/상속,/부산한정승인,0.1158,0.1070
inheritance,/상속,/services/inheritance-registration,0.0826,0.0820
inheritance,/상속,/전국상속등기,0.0916,0.0837
inheritance,/부산상속법무사,/부산상속등기,0.1850,0.1876
inheritance,/부산상속법무사,/부산상속포기,0.1549,0.1571
inheritance,/부산상속법무사,/부산한정승인,0.1702,0.1667
inheritance,/부산상속법무사,/services/inheritance-registration,0.0692,0.0738
inheritance,/부산상속법무사,/전국상속등기,0.0559,0.0517
inheritance,/부산상속등기,/부산상속포기,0.1574,0.1597
inheritance,/부산상속등기,/부산한정승인,0.1467,0.1474
inheritance,/부산상속등기,/services/inheritance-registration,0.0745,0.0771
inheritance,/부산상속등기,/전국상속등기,0.0901,0.0876
inheritance,/부산상속포기,/부산한정승인,0.1832,0.1836
inheritance,/부산상속포기,/services/inheritance-registration,0.0583,0.0642
inheritance,/부산상속포기,/전국상속등기,0.0625,0.0595
inheritance,/부산한정승인,/services/inheritance-registration,0.0569,0.0569
inheritance,/부산한정승인,/전국상속등기,0.0641,0.0587
inheritance,/services/inheritance-registration,/전국상속등기,0.0841,0.0791
corporate,/부산법인법무사,/부산법인등기,0.1286,0.1297
corporate,/부산법인법무사,/법인등기,0.1284,0.1172
corporate,/부산법인법무사,/services/corporate-registration,0.0881,0.0930
corporate,/부산법인등기,/법인등기,0.0951,0.0898
corporate,/부산법인등기,/services/corporate-registration,0.0701,0.0708
corporate,/법인등기,/services/corporate-registration,0.3155,0.3081
rehab,/부산개인회생,/부산개인회생법무사,0.0547,0.0510
rehab,/부산개인회생,/개인회생파산,0.1358,0.1326
rehab,/부산개인회생,/services/personal-rehabilitation,0.0748,0.0750
rehab,/부산개인회생법무사,/개인회생파산,0.2974,0.2902
rehab,/부산개인회생법무사,/services/personal-rehabilitation,0.3145,0.3101
rehab,/개인회생파산,/services/personal-rehabilitation,0.2522,0.2489
