keyword,owner,status,intent_match,owner_clarity,uniqueness_note,internal_authority,priority
부산 법무사,/,SERP_UNVERIFIED,internal-owner-1,15,,55,observe
부산 법무사 상담,/부산법무사상담,SERP_UNVERIFIED,internal-owner-1,15,,295,observe
부산 법무사 추천,/부산법무사추천,SERP_UNVERIFIED,internal-owner-1,15,,69,observe
부산 법무사 비용,/부산법무사비용,SERP_UNVERIFIED,internal-owner-1,15,,111,observe
부산 법무사 수수료,/부산법무사비용,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,111,P1-internal
부산 법무사 보수,/부산법무사비용,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,111,P1-internal
부산 등기 법무사,/부산등기법무사,SERP_UNVERIFIED,internal-owner-1,15,,788,observe
부산 등기전문 법무사,/부산등기법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,788,P1-internal
부산 상속 법무사,/부산상속법무사,SERP_UNVERIFIED,internal-owner-1,15,,554,observe
부산 상속전문 법무사,/부산상속법무사,SERP_UNVERIFIED,internal-owner-1,15,,554,observe
부산 법무사 상속,/부산상속법무사,SERP_UNVERIFIED,internal-owner-1,15,,554,observe
부산 상속등기 법무사,/부산상속등기,SERP_UNVERIFIED,internal-owner-1,15,,1191,observe
부산 상속등기,/부산상속등기,SERP_UNVERIFIED,internal-owner-1,15,,1191,observe
부산 상속포기 법무사,/부산상속포기,SERP_UNVERIFIED,internal-owner-1,15,,209,observe
부산 상속포기,/부산상속포기,SERP_UNVERIFIED,internal-owner-1,15,,209,observe
부산 한정승인 법무사,/부산한정승인,SERP_UNVERIFIED,internal-owner-1,15,,186,observe
부산 한정승인,/부산한정승인,SERP_UNVERIFIED,internal-owner-1,15,,186,observe
부산 특별한정승인 법무사,/특별한정승인,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
부산 특별한정승인,/특별한정승인,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
부산 상속재산분할 법무사,/부산상속재산분할법무사,SERP_UNVERIFIED,internal-owner-1,15,,129,observe
부산 상속재산분할협의,/부산상속재산분할법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,129,observe
부산 대습상속,/대습상속등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,2,observe
부산 미성년자 상속,/미성년상속인,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,7,observe
부산 해외 상속인 상속등기,/해외거주상속인,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,13,P1-internal
부산 부동산 법무사,/부산부동산등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,1022,P1-internal
부산 부동산등기 법무사,/부산부동산등기,SERP_UNVERIFIED,internal-owner-1,15,,1022,observe
부산 부동산등기,/부산부동산등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,1022,P1-internal
부산 소유권이전등기 법무사,/부산소유권이전등기,SERP_UNVERIFIED,internal-owner-1,15,,574,observe
