cluster,keyword,owner_url,baseline_impressions,baseline_clicks,baseline_ctr,day30_impressions,day30_clicks,day30_ctr,day60_impressions,day60_clicks,day60_ctr,day90_impressions,day90_clicks,day90_ctr,notes
CORE,부산 법무사,/,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 법무사 상담,/부산법무사상담,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 법무사 추천,/부산법무사추천,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 상속 전문 법무사,/부산상속법무사,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 상속 법무사,/부산상속법무사,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 상속등기,/부산상속등기,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 상속포기,/부산상속포기,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
CORE,부산 한정승인,/부산한정승인,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 법률 강의,/법률강의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 법률 특강,/법률강의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 강의 문의,/강의문의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 특강 문의,/강의문의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 강연 문의,/강의문의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 출강 문의,/강의문의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 강사 섭외,/부산법률강사,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 강사 초빙,/부산법률강사,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 외부강사,/부산법률강사,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 전세사기 예방교육,/전세사기예방교육,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 생활법률 특강,/법률강의,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 청년 법률교육,/청년생활법률특강,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
LECTURE,부산 창업 법률교육,/창업법률교육,,,,,,,,,,,,,SEARCH PERFORMANCE UNKNOWN
