page_a,page_b,semantic_similarity,risk
/해운대법무사,/수영구법무사,0.452,OK
/해운대법무사,/동래구법무사,0.464,OK
/반여동법무사,/남구법무사,0.506,OK
/반여동법무사,/금정구법무사,0.488,OK
/반여동법무사,/북구법무사,0.536,OK
/반여동법무사,/기장군법무사,0.53,OK
/반여동법무사,/사상구법무사,0.506,OK
/반여동법무사,/사하구법무사,0.518,OK
/반여동법무사,/서구법무사,0.462,OK
/반여동법무사,/영도구법무사,0.475,OK
/반여동법무사,/강서구법무사,0.488,OK
/반여동법무사,/동구법무사,0.482,OK
/수영구법무사,/동래구법무사,0.457,OK
/수영구법무사,/부산진구법무사,0.457,OK
/연제구법무사,/동래구법무사,0.452,OK
/동래구법무사,/부산진구법무사,0.488,OK
/부산진구법무사,/중구법무사,0.485,OK
/부산진구법무사,/동구법무사,0.476,OK
/남구법무사,/금정구법무사,0.497,OK
/남구법무사,/북구법무사,0.491,OK
/남구법무사,/기장군법무사,0.512,OK
/남구법무사,/사상구법무사,0.497,OK
/남구법무사,/사하구법무사,0.557,OK
/남구법무사,/서구법무사,0.478,OK
/남구법무사,/영도구법무사,0.509,OK
/남구법무사,/강서구법무사,0.563,OK
/남구법무사,/동구법무사,0.556,OK
/금정구법무사,/북구법무사,0.475,OK
/금정구법무사,/기장군법무사,0.503,OK
/금정구법무사,/사상구법무사,0.541,OK
/금정구법무사,/사하구법무사,0.573,OK
/금정구법무사,/서구법무사,0.528,OK
/금정구법무사,/영도구법무사,0.569,OK
/금정구법무사,/강서구법무사,0.542,OK
/금정구법무사,/동구법무사,0.611,TEMPLATE_RISK
/북구법무사,/기장군법무사,0.506,OK
/북구법무사,/사상구법무사,0.553,OK
/북구법무사,/사하구법무사,0.512,OK
/북구법무사,/영도구법무사,0.463,OK
/북구법무사,/강서구법무사,0.475,OK
/북구법무사,/동구법무사,0.486,OK
/기장군법무사,/사상구법무사,0.52,OK
/기장군법무사,/사하구법무사,0.533,OK
/기장군법무사,/서구법무사,0.484,OK
/기장군법무사,/영도구법무사,0.473,OK
/기장군법무사,/강서구법무사,0.53,OK
/기장군법무사,/동구법무사,0.524,OK
/사상구법무사,/사하구법무사,0.545,OK
/사상구법무사,/서구법무사,0.478,OK
/사상구법무사,/영도구법무사,0.484,OK
/사상구법무사,/강서구법무사,0.497,OK
/사상구법무사,/동구법무사,0.526,OK
/사하구법무사,/서구법무사,0.557,OK
/사하구법무사,/영도구법무사,0.511,OK
/사하구법무사,/강서구법무사,0.574,OK
/사하구법무사,/동구법무사,0.558,OK
/서구법무사,/영도구법무사,0.505,OK
/서구법무사,/동구법무사,0.593,OK
/영도구법무사,/강서구법무사,0.525,OK
