keyword,expected_owner,rank,url,score,pass
부산 법무사,/,1,/부산법무사보수표,198,MISS
부산법무사,/,1,/부산법무사강의,154,MISS
부산 법무사 상담,/부산법무사상담,1,/부산법무사상담,226,PASS
부산 법무사 추천,/부산법무사추천,1,/부산법무사추천,210,PASS
부산 법무사 비용,/부산법무사비용,1,/부산법무사비용,234,PASS
부산 법무사 수수료,/부산법무사비용,1,/부산법무사,68,MISS
부산 법무사 보수,/부산법무사비용,1,/부산법무사보수표,218,MISS
부산 법무사 사무실,/부산법무사무소,1,/부산법무사무소,132,PASS
부산 여성 법무사,/부산여성법무사,1,/부산여성법무사,234,PASS
부산 법무사 직접상담,/부산법무사상담,1,/부산법무사,68,MISS
해운대 법무사,/해운대법무사,1,/해운대법무사,214,PASS
해운대구 법무사,/해운대법무사,1,/업무사례/해운대구법무사,108,MISS
센텀 법무사,/센텀법무사,1,/센텀법무사,214,PASS
센텀시티 법무사,/센텀법무사,1,/업무사례/부산센텀시티법무사,108,MISS
재송동 법무사,/재송동법무사,1,/재송동법무사,206,PASS
재송역 법무사,/재송동법무사,1,/업무사례/부산재송역법무사,108,MISS
반여동 법무사,/반여동법무사,1,/반여동법무사,210,PASS
우동 법무사,/우동법무사,1,/우동법무사,206,PASS
좌동 법무사,/좌동법무사,1,/좌동법무사,206,PASS
장산 법무사,/좌동법무사,1,/업무사례/부산장산역법무사,32,MISS
수영구 법무사,/수영구법무사,1,/수영구법무사,210,PASS
수영 법무사,/수영구법무사,1,/수영구법무사,40,PASS
광안동 법무사,/광안동법무사,1,/광안동법무사,202,PASS
광안리 법무사,/광안리법무사,1,/광안리법무사,198,PASS
민락동 법무사,/민락동법무사,1,/민락동법무사,202,PASS
망미동 법무사,/망미동법무사,1,/망미동법무사,210,PASS
남천동 법무사,/남천동법무사,1,/남천동법무사,202,PASS
연제구 법무사,/연제구법무사,1,/연제구법무사,214,PASS
연산동 법무사,/연산동법무사,1,/연산동법무사,202,PASS
거제동 법무사,/거제동법무사,1,/거제동법무사,210,PASS
시청 법무사,/연제구법무사,1,/업무사례/부산시청법무사,112,MISS
부산지방법원 법무사,/부산지방법원법무사,1,/부산지방법원법무사,180,PASS
부산법원 법무사,/부산지방법원법무사,1,/업무사례/부산법원법무사,112,MISS
동래구 법무사,/동래구법무사,1,/동래구법무사,210,PASS
동래 법무사,/동래구법무사,1,/동래역법무사,120,MISS
사직동 법무사,/사직동법무사,1,/사직동법무사,206,PASS
온천동 법무사,/온천동법무사,1,/온천동법무사,202,PASS
명륜동 법무사,/동래구법무사,1,/업무사례/부산명륜동법무사,112,MISS
동래역 법무사,/동래역법무사,1,/동래역법무사,202,PASS
부산진구 법무사,/부산진구법무사,1,/부산진구법무사,210,PASS
서면 법무사,/서면법무사,1,/서면법무사,202,PASS
부전동 법무사,/부전동법무사,1,/부전동법무사,202,PASS
전포동 법무사,/전포동법무사,1,/전포동법무사,206,PASS
양정동 법무사,/양정동법무사,1,/양정동법무사,198,PASS
범천동 법무사,/부산진구법무사,1,/업무사례/부산범천동법무사,112,MISS
남구 법무사,/남구법무사,1,/남구법무사,210,PASS
부산 남구 법무사,/남구법무사,1,/남구법무사,60,PASS
대연동 법무사,/대연동법무사,1,/대연동법무사,202,PASS
용호동 법무사,/용호동법무사,1,/용호동법무사,210,PASS
문현동 법무사,/문현동법무사,1,/문현동법무사,210,PASS
문현금융단지 법무사,/문현동법무사,1,/문현금융단지법인등기,190,MISS
북구 법무사,/북구법무사,1,/북구법무사,210,PASS
부산 북구 법무사,/북구법무사,1,/북구법무사,60,PASS
화명동 법무사,/화명동법무사,1,/화명동법무사,206,PASS
덕천동 법무사,/덕천동법무사,1,/덕천동법무사,198,PASS
만덕동 법무사,/북구법무사,1,/업무사례/부산만덕동법무사,112,MISS
강서구 법무사,/강서구법무사,1,/강서구법무사,210,PASS
부산 강서구 법무사,/강서구법무사,1,/강서구법무사,60,PASS
명지 법무사,/명지법무사,1,/명지법무사,202,PASS
명지국제신도시 법무사,/명지법무사,1,/명지국제신도시법인등기,146,MISS
에코델타시티 법무사,/강서구법무사,1,/에코델타시티법인등기,190,MISS
기장 법무사,/기장군법무사,1,/기장법무사,140,MISS
기장군 법무사,/기장군법무사,1,/기장군법무사,210,PASS
정관 법무사,/정관법무사,1,/정관법무사,202,PASS
일광 법무사,/일광읍법무사,1,/일광읍법무사,40,PASS
사상구 법무사,/사상구법무사,1,/사상구법무사,210,PASS
사상 법무사,/사상법무사,1,/사상법무사,198,PASS
주례동 법무사,/주례동법무사,1,/주례동법무사,206,PASS
엄궁동 법무사,/사상구법무사,1,/업무사례/부산엄궁동법무사,112,MISS
사하구 법무사,/사하구법무사,1,/사하구법무사,210,PASS
하단 법무사,/하단법무사,1,/하단법무사,202,PASS
하단동 법무사,/하단법무사,1,/업무사례/부산하단동법무사,112,MISS
괴정동 법무사,/괴정동법무사,1,/괴정동법무사,206,PASS
금정구 법무사,/금정구법무사,1,/금정구법무사,210,PASS
부곡동 법무사,/부곡동법무사,1,/부곡동법무사,206,PASS
구서동 법무사,/구서동법무사,1,/구서동법무사,206,PASS
부산대 법무사,/금정구법무사,1,/업무사례/부산대법무사,112,MISS
중구 법무사,/중구법무사,1,/중구법무사,210,PASS
남포동 법무사,/남포동법무사,1,/남포동법무사,206,PASS
부산 서구 법무사,/서구법무사,1,/서구법무사,60,PASS
서대신동 법무사,/서구법무사,1,/업무사례/부산서대신동법무사,112,MISS
동대신동 법무사,/서구법무사,1,/업무사례/부산동대신동법무사,112,MISS
영도구 법무사,/영도구법무사,1,/영도구법무사,210,PASS
영도 법무사,/영도구법무사,1,/영도구법무사,40,PASS
동삼동 법무사,/동삼동법무사,1,/동삼동법무사,206,PASS
부산 동구 법무사,/동구법무사,1,/동구법무사,72,PASS
