keyword,device,observed_rank,observed_url,observed_date,source
부산 법무사,pc,,,,UNKNOWN
부산 법무사,mobile,,,,UNKNOWN
부산법무사,pc,,,,UNKNOWN
부산법무사,mobile,,,,UNKNOWN
부산 법무사 상담,pc,,,,UNKNOWN
부산 법무사 상담,mobile,,,,UNKNOWN
부산 법무사 추천,pc,,,,UNKNOWN
부산 법무사 추천,mobile,,,,UNKNOWN
부산 법무사 비용,pc,,,,UNKNOWN
부산 법무사 비용,mobile,,,,UNKNOWN
부산 법무사 수수료,pc,,,,UNKNOWN
부산 법무사 수수료,mobile,,,,UNKNOWN
부산 법무사 보수,pc,,,,UNKNOWN
부산 법무사 보수,mobile,,,,UNKNOWN
부산 법무사 사무실,pc,,,,UNKNOWN
부산 법무사 사무실,mobile,,,,UNKNOWN
부산 여성 법무사,pc,,,,UNKNOWN
부산 여성 법무사,mobile,,,,UNKNOWN
부산 법무사 직접상담,pc,,,,UNKNOWN
부산 법무사 직접상담,mobile,,,,UNKNOWN
해운대 법무사,pc,,,,UNKNOWN
해운대 법무사,mobile,,,,UNKNOWN
해운대구 법무사,pc,,,,UNKNOWN
해운대구 법무사,mobile,,,,UNKNOWN
센텀 법무사,pc,,,,UNKNOWN
센텀 법무사,mobile,,,,UNKNOWN
센텀시티 법무사,pc,,,,UNKNOWN
센텀시티 법무사,mobile,,,,UNKNOWN
재송동 법무사,pc,,,,UNKNOWN
재송동 법무사,mobile,,,,UNKNOWN
재송역 법무사,pc,,,,UNKNOWN
재송역 법무사,mobile,,,,UNKNOWN
반여동 법무사,pc,,,,UNKNOWN
반여동 법무사,mobile,,,,UNKNOWN
우동 법무사,pc,,,,UNKNOWN
우동 법무사,mobile,,,,UNKNOWN
좌동 법무사,pc,,,,UNKNOWN
좌동 법무사,mobile,,,,UNKNOWN
장산 법무사,pc,,,,UNKNOWN
장산 법무사,mobile,,,,UNKNOWN
수영구 법무사,pc,,,,UNKNOWN
수영구 법무사,mobile,,,,UNKNOWN
수영 법무사,pc,,,,UNKNOWN
수영 법무사,mobile,,,,UNKNOWN
광안동 법무사,pc,,,,UNKNOWN
광안동 법무사,mobile,,,,UNKNOWN
광안리 법무사,pc,,,,UNKNOWN
광안리 법무사,mobile,,,,UNKNOWN
민락동 법무사,pc,,,,UNKNOWN
